TABLE_ID,RESTAURANT_ID,TABLE_STATUS
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,2,1
22,2,1
23,2,1
24,2,1
25,2,1
26,2,1
27,2,1
28,2,1
29,2,1
30,2,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,2,1
37,2,1
38,2,1
39,2,1
40,2,1
41,3,1
42,3,1
43,3,1
44,3,1
45,3,1
46,3,1
47,3,1
48,3,1
49,3,1
50,3,1
51,3,1
52,3,1
53,3,1
54,3,1
55,3,1
56,3,1
57,3,1
58,3,1
59,3,1
60,3,1
61,4,1
62,4,1
63,4,1
64,4,1
65,4,1
66,4,1
67,4,1
68,4,1
69,4,1
70,4,1
71,4,1
72,4,1
73,4,1
74,4,1
75,4,1
76,4,1
77,4,1
78,4,1
79,4,1
80,4,1
81,5,1
82,5,1
83,5,1
84,5,1
85,5,1
86,5,1
87,5,1
88,5,1
89,5,1
90,5,1
91,5,1
92,5,1
93,5,1
94,5,1
95,5,1
96,5,1
97,5,1
98,5,1
99,5,1
100,5,1
